,GLSZM_GrayLevelNonUniformity,GLSZM_GrayLevelNonUniformityNormalized,GLSZM_GrayLevelVariance,GLSZM_HighGrayLevelZoneEmphasis,GLSZM_LargeAreaEmphasis,GLSZM_LargeAreaHighGrayLevelEmphasis,GLSZM_LargeAreaLowGrayLevelEmphasis,GLSZM_LowGrayLevelZoneEmphasis,GLSZM_SizeZoneNonUniformity,GLSZM_SizeZoneNonUniformityNormalized,GLSZM_SmallAreaEmphasis,GLSZM_SmallAreaHighGrayLevelEmphasis,GLSZM_SmallAreaLowGrayLevelEmphasis,GLSZM_ZoneEntropy,GLSZM_ZonePercentage,GLSZM_ZoneVariance
0d8fc33c55f2f6af87ee3bd16614e208_R_CC.nii.gz,3.8766233766233764,0.012586439534491482,800.8196576151122,5480.623376623376,1.25,6995.701298701299,0.004378289299104657,0.004304724890251999,270.35714285714283,0.8777829313543599,0.9502389971139971,5175.791599025974,0.004288863163331389,6.686767357896741,0.9305135951661632,0.09507294653398549
0f19f51df3ae39481f0a88d5b17b8499_R_CC.nii.gz,7.107334525939177,0.01271437303388046,855.762046332417,8318.991055456172,2.309481216457961,23832.203935599286,0.003200651951052998,0.0028527820063930483,378.84257602862255,0.6777148050601477,0.8498874202168777,6917.385010656153,0.002780948792001967,7.1117510449803465,0.7796373779637378,0.6642963892204646
0fab8097f55f21d4bfa7667250122312_L_CC.nii.gz,15.392344497607656,0.012274596888044382,736.4223302020456,8019.425039872408,2.145933014354067,23063.559011164274,0.0013785959790410423,0.001236265665722289,1000.8947368421053,0.7981616721228909,0.9126796412145952,7258.982964546692,0.0012167225024217973,7.011100029616327,0.8513238289205702,0.7661511870149493
014d843f13a9d86fec945664e2541fe6_R_CC.nii.gz,4.422950819672131,0.014501478097285676,539.0379360386993,4814.911475409836,1.5639344262295083,8206.652459016394,0.004841717714825727,0.004697352510425745,226.71147540983605,0.7433163128191347,0.8864526411657558,4117.646994535519,0.00466755333216505,6.67175377956703,0.8543417366946778,0.1938833646869121
02c9621d5af7d0485e20c071f605678c_R_CC.nii.gz,4.358974358974359,0.027942143326758713,452.5305719921104,4489.666666666667,1.6987179487179487,7349.903846153846,0.007195508708322551,0.006979449628778419,112.88461538461539,0.7236193293885601,0.8756232193732194,4026.85385505698,0.006936604796409436,5.851984976395416,0.8342245989304813,0.261793228139382
07a0dbae70b94afb01313eeeeaaef9ac_R_CC.nii.gz,6.059574468085106,0.012892711634223631,872.8145993662291,7969.9808510638295,2.2085106382978723,19700.58085106383,0.019998426670370353,0.002807589363697105,323.9148936170213,0.6891806247170665,0.8562760047281325,6721.19685283688,0.0008916811589033769,7.1143000555559865,0.7885906040268457,0.6004708012675419
0910d9262da2398810b2f2bc32b77088_L_CC.nii.gz,14.330037082818293,0.017713272043038682,458.7130779961527,8144.735475896168,1.903584672435105,16384.14462299135,0.0018118266492367413,0.001700654185662142,573.7045735475896,0.7091527485137078,0.8670980872777624,6936.641380136727,0.001683855489436843,6.83204406121704,0.809,0.37565643616850597
0928a31ce88182b08f89a6aa72354037_L_CC.nii.gz,3.985611510791367,0.014336732053206356,819.8608379483466,4207.687050359712,1.435251798561151,6102.280575539568,0.005214146404932388,0.004467450643118084,220.3956834532374,0.7927902282490554,0.9111710631494804,3833.1913469224623,0.004293689616844835,6.6355552964812725,0.8825396825396825,0.15135086175663787
1e2b0ce2c5a93c643834c98803e6ac2d_L_CC.nii.gz,6.064935064935065,0.011252198636243164,870.2413732570109,5351.289424860854,1.730983302411874,12154.029684601113,0.00417806031636898,0.003310119581701168,414.9517625231911,0.7698548469818016,0.8986323696145125,4613.325142367553,0.003103086428354247,7.062064694616236,0.8461538461538461,0.3342890875358408
1fe77db1e47d9133c2bc799fc2e3c4ba_L_CC.nii.gz,8.313253012048193,0.012519959355494267,737.7795307736972,6887.268072289156,1.7590361445783131,13378.798192771084,0.002915502213937657,0.0022575199749684245,467.1777108433735,0.7035808898243576,0.864894578313253,5858.591836094377,0.0021003767033864105,7.1067597609175985,0.8217821782178217,0.2782697053273334
2b48f13688211af161ca5880d9fcaec3_R_CC.nii.gz,16.92779369627507,0.009700741373223536,918.3953386261196,5479.636676217765,2.6636103151862462,17027.75358166189,0.004338487713136083,0.0013910083793388778,1088.9828080229227,0.6240589157724485,0.8180039473180761,4386.678680938177,0.00080425576873384,7.667768332247685,0.7319630872483222,0.7971376261278643
2c90542f6f10926cde501ebd8de7c3c3_R_CC.nii.gz,2.3013698630136985,0.015762807280915746,979.4680521673861,7819.664383561644,1.4109589041095891,11633.760273972603,0.007567233987206177,0.007496132708290667,118.58904109589041,0.8122537061362357,0.9200913242009133,7061.680745814308,0.0074811631448329485,6.387368973290457,0.8902439024390244,0.1491837117658097
2cae5c9d4a922766fd01dd69a004ea5c_L_CC.nii.gz,17.367720465890184,0.014449018690424444,531.9234249074616,6178.158069883528,1.8036605657237936,11926.400998336107,0.0032184441263073253,0.0030458317461192048,883.6073211314476,0.7351142438697568,0.8812600398512767,5346.160568291531,0.003017316427877976,6.996815017705634,0.8289655172413793,0.34844587916423264
2df4404b9c286ec49851d4261faec924_R_CC.nii.gz,2.5714285714285716,0.018367346938775512,937.7352551020409,5113.664285714286,1.2714285714285714,6614.007142857143,0.007949995443898223,0.007878424969676612,119.58571428571429,0.8541836734693877,0.9400793650793651,4786.864285714286,0.007861836839605185,6.250043131732074,0.9210526315789473,0.0926530612244898
2e1f57baf6e3e742404c401b0999cadb_R_CC.nii.gz,18.789173789173788,0.010706081931153156,847.3100562495433,5579.103703703704,2.2507122507122506,11855.85641025641,0.002841952801738201,0.0015829165398235905,1126.6877492877493,0.6419873215314811,0.8291185106046217,4612.262196779044,0.0014344634331143003,7.5424986019748985,0.7630434782608696,0.5331937240769149
2fe156e5ce59814559b0a9f01de006df_L_CC.nii.gz,22.596725549332184,0.009735771455981122,910.4135658147023,6206.2520465316675,6.765618267987937,84690.46057733735,0.002526663044676338,0.001027436941906876,1367.0594571305471,0.5889958884664142,0.7958463022130214,4883.775949314155,0.0008886732300407714,7.789093685525116,0.6984652422509781,4.715823399153636
3b9d3e9aa2fcdefd74d4cbfb496694b4_R_CC.nii.gz,13.26923076923077,0.010632396449704143,849.0516416009204,5908.729166666667,1.8477564102564104,12636.761217948719,0.0018872887948390839,0.001612130688967371,887.9102564102565,0.7114665516107824,0.8690486449577356,5026.4327968864045,0.0015595979116029418,7.360293754044931,0.8199737187910644,0.3604510807034846
4e6f6c5e70433a176643f635747a328d_L_CC.nii.gz,2.6759776536312847,0.014949595830342374,893.1964046065978,7007.737430167598,1.5083798882681565,11433.463687150837,0.009752675349037563,0.008931812407651075,138.21787709497207,0.7721669111450954,0.9010319677219119,6139.117977963997,0.008730412581615861,6.496284179663618,0.8689320388349514,0.18395181174120656
4fc011ee4b49040648fdd2d3dcf883c3_R_CC.nii.gz,4.094488188976378,0.01612003224006448,730.7208289416579,3412.248031496063,1.6732283464566928,5228.133858267716,0.012254564911620905,0.010255346370526204,185.9291338582677,0.732004464008928,0.8800853018372703,3089.9362696850394,0.009853459809037493,6.588289441833885,0.8382838283828383,0.2501860003720007
5babce4b963ba18124477ce11d284ac6_L_CC.nii.gz,9.391061452513966,0.01311600761524297,999.0305448487875,3826.2695530726255,2.8016759776536313,10091.124301675978,0.00640400481195938,0.003701426698218009,432.21787709497204,0.6036562529259386,0.8053366050667111,3109.908216567935,0.0034553098949174216,7.339670330335384,0.7145708582834331,0.8432399113635654
5f97a8ee0bc7b1ffb941035bc5291db8_L_CC.nii.gz,54.2105158334993,0.010796756788189464,717.474877412894,5533.879107747461,2.603266281617208,14214.725951005776,0.0029614064665598816,0.001261533889792889,3007.5453096992633,0.598993290121343,0.8025573987275614,4454.350273967659,0.0009837880190955383,7.731601852642327,0.7248448101631297,0.6999545148773876
5fb086552ff0566a7ba0fba65d5c4823_L_CC.nii.gz,16.256072172102705,0.011281104907774259,759.6839585818507,7945.334489937543,2.219292158223456,21489.47814018043,0.0034182004572190275,0.0011426635105995825,979.6911866759195,0.6798689706286741,0.8509780420313103,6507.47430401818,0.0005954165323446421,7.3481800327469715,0.7806067172264355,0.5781906985905482
6adbb464cba25c728e2d6c29ee9ee1bc_L_CC.nii.gz,6.148014440433213,0.011097498989951647,1037.3088434620547,6541.395306859205,1.720216606498195,13138.180505415163,0.004385699724954797,0.0041684714124525174,413.94945848375454,0.7472011885988349,0.8874473525872443,5576.9540713999195,0.004130546278341413,7.124121734068559,0.8381240544629349,0.29663165165713096
6d75446a6406fc669f3464543b8f7893_L_CC.nii.gz,13.590106007067138,0.012005393999175917,912.877844491753,8586.606890459363,4.198763250883392,55640.69169611308,0.0042205401913218196,0.0012415695794608576,845.5265017667845,0.7469315386632371,0.8867527974650492,7460.591598226978,0.0005552791266120903,7.145848673161546,0.7899511514305653,2.5962577569953424
7bb82359496060cc5af7fd939e760ff5_L_CC.nii.gz,1.3428571428571427,0.019183673469387756,1502.751224489796,5149.185714285714,1.5,7894.771428571428,0.017919618843259596,0.01701928491974201,52.6,0.7514285714285714,0.8908730158730159,4585.70992063492,0.016796251156821426,5.872140159802089,0.8641975308641975,0.1610204081632653
7c49a0d284532fa3e537ac87991c9608_L_CC.nii.gz,2.45,0.0153125,960.3610937499999,7959.775,1.35625,11985.19375,0.007042002367098138,0.007004382608371179,134.0375,0.837734375,0.9317708333333334,7183.4411458333325,0.006997595732459369,6.396845166960176,0.903954802259887,0.1324609375
7f0eb50793a773fb4bddaeff7e3c7c14_L_CC.nii.gz,5.815384615384615,0.014911242603550296,971.9777843523997,8737.202564102565,6.712820512820513,99424.52820512821,0.003975183974259692,0.0035454979921830864,284.5897435897436,0.7297172912557528,0.8777259237880182,7281.559477828645,0.003519676368251084,6.757171276459928,0.75,4.935042735042735
8dd986e8174fc84c2a984e66a416ff9f_R_CC.nii.gz,40.568372596804764,0.010985207851829073,748.7056734335911,6391.5101543460605,1.7595450852965069,11625.747630652586,0.0015551646834091,0.0012550477725110957,2651.6747901435147,0.7180272922132452,0.872586650419713,5504.706853205766,0.0012042455816299962,7.3940432476538644,0.826544315129812,0.29579237041353323
8e30fe5fbe424206c9f57ce26f80f6c2_R_CC.nii.gz,9.046153846153846,0.011597633136094675,774.7370069033531,6419.947435897436,2.0692307692307694,16378.715384615385,0.001959161957823811,0.0017630577884495283,558.9102564102565,0.71655161078238,0.8713108756323042,5437.746830527937,0.0017328135597726294,7.188573196856796,0.8074534161490683,0.5354437869822486
8f447c29a7aa0c5aa2b8e8a852b01560_L_CC.nii.gz,3.765151515151515,0.014261937557392104,706.6349718778696,6122.814393939394,1.371212121212121,8860.128787878788,0.004550934771283571,0.004482109634967717,226.62121212121212,0.8584136822773186,0.941150042087542,5692.868359638047,0.004470103501626024,6.549002039260169,0.9103448275862069,0.1645431588613407
9a6f70ccba8034a3d658f88677e4b553_L_CC.nii.gz,4.51123595505618,0.01267201110970837,803.0762766696125,6903.300561797752,1.5,10689.941011235955,0.0034065038871201703,0.0033071663142806447,273.0,0.7668539325842697,0.8985057740324593,6164.560334737827,0.00328534339385328,6.88685853860023,0.8682926829268293,0.17362075495518242
9bb21300e3a92937024437cacc180158_R_CC.nii.gz,15.57573354480571,0.012351890202066384,683.7336076940056,4946.13560666138,1.7668517049960348,9613.881839809676,0.0017728806491674898,0.00142344797072856,925.7787470261698,0.7341623687757095,0.8805251564014449,4292.26006916909,0.001361288229012146,7.173831443789128,0.828515111695138,0.310054392087143
9fe8e9aef78ad365197d8f6ee0fdb932_R_CC.nii.gz,12.642645607107601,0.012480400401883121,647.3282100706608,7437.381046396841,2.2931885488647583,19567.49457058243,0.0014360523817593454,0.0012460514234852234,662.8262586377098,0.6543200973718754,0.8359076214303498,5986.705674177865,0.0012196793632555294,7.231418650410138,0.7610818933132982,0.5668052728156863
21fddc967eb5a31695a60d4bb075df7a_R_CC.nii.gz,3.2119205298013247,0.021270996886101488,917.1553879215824,8496.529801324503,1.4635761589403973,13675.708609271524,0.027635543516697957,0.007716656921221498,121.8476821192053,0.8069382921801675,0.9174484915378955,7605.615020235467,0.0027410596650343714,6.034235534297712,0.8830409356725146,0.1811324064734003
