,GLCM_Autocorrelation,GLCM_ClusterProminence,GLCM_ClusterShade,GLCM_ClusterTendency,GLCM_Contrast,GLCM_Correlation,GLCM_DifferenceAverage,GLCM_DifferenceEntropy,GLCM_DifferenceVariance,GLCM_Id,GLCM_Idm,GLCM_Idmn,GLCM_Idn,GLCM_Imc1,GLCM_Imc2,GLCM_InverseVariance,GLCM_JointAverage,GLCM_JointEnergy,GLCM_JointEntropy,GLCM_MCC,GLCM_MaximumProbability,GLCM_SumAverage,GLCM_SumEntropy,GLCM_SumSquares
0d8fc33c55f2f6af87ee3bd16614e208_R_CC.nii.gz,5754.801475117361,17121882.278473828,-54423.098208585856,2625.7352818073855,253.41647466232848,0.8220482283118009,12.468475397962974,4.815929144290461,85.09094214103052,0.14937866911646674,0.07284900034208372,0.9852511143993035,0.9154777062138078,-0.587205251796837,0.9997345260732357,0.08237634875871325,71.83995892392636,0.0019253792398104827,9.078708862157441,0.893425808579199,0.004532265526054346,143.6799178478526,7.0579373575918884,719.7879391174295
0f19f51df3ae39481f0a88d5b17b8499_R_CC.nii.gz,8847.2228981404,35356247.79308936,-173737.81308537553,3187.0091414170156,106.77521915214537,0.934808727662144,7.5487644563517575,4.323700521902495,46.736886819214455,0.24316817002097246,0.15920299679056876,0.993660729151467,0.9466986253088256,-0.48924660118677765,0.9990457319986881,0.15188274443929106,89.87274548174241,0.0015095821145627649,9.726900147662098,0.9750720186269333,0.009853091247922323,179.74549096348483,7.302689569351806,823.4460901422892
0fab8097f55f21d4bfa7667250122312_L_CC.nii.gz,8469.49262119628,18968865.158041723,-66252.06727964262,2630.1227250729657,232.72327321662016,0.8366649272911063,11.392468717869981,4.870255280770958,93.66550179659356,0.18818607240604757,0.11280203773114908,0.9865643628647928,0.9227349805211609,-0.36124158180106813,0.9949578602597393,0.10078812571049107,88.7129760881315,0.0010324978977814343,10.565422022372346,0.8818872926461147,0.015375143406260706,177.4259521762628,7.405482039124298,715.7114995723963
014d843f13a9d86fec945664e2541fe6_R_CC.nii.gz,5214.433088419913,8950284.155358547,-3473.5994459157087,1786.7739972710197,192.6714067917188,0.8028345948515877,11.108789592843642,4.642215238978,58.83577798432769,0.1716896076386496,0.09619344887652571,0.9886129654129054,0.9233032820264881,-0.5398464801721022,0.9993886465867249,0.08932943858904374,69.39210465921511,0.0019873058073022858,9.084271932371855,0.8570339728700328,0.006520713117904518,138.78420931843021,6.899124469336107,494.8613510156853
02c9621d5af7d0485e20c071f605678c_R_CC.nii.gz,4535.095626635504,7029923.114129163,22555.53458168562,1333.1009592423477,217.2893661429722,0.7158929751157559,10.924108129007644,4.564695737039668,88.5085699085044,0.1869099661090899,0.10666209735985949,0.9874338580012999,0.9256327802634228,-0.5126113442305669,0.9979907836716978,0.08491561373855358,65.23531801545718,0.004223778931493595,8.023367255053433,0.8548855804575912,0.012852114889814109,130.47063603091433,6.299809065377598,387.5975813463299
07a0dbae70b94afb01313eeeeaaef9ac_R_CC.nii.gz,8400.94111176115,28468472.740386337,-158242.12547638846,3022.552988700158,85.49903207172737,0.9446217214204241,7.211496117549148,4.185954167777977,30.139625881935206,0.23097224304374442,0.14255006628540612,0.9948677971747393,0.9483297171449632,-0.5074622291097874,0.9991819707978076,0.1229922789669607,87.55792816472962,0.0017375162233689697,9.480937527418524,0.9819718043521805,0.012179119928544247,175.11585632945946,7.169265661025152,777.013005192972
0910d9262da2398810b2f2bc32b77088_L_CC.nii.gz,8435.738233802587,10939255.889719177,-68923.5443222513,1411.5551406156903,80.71116869216839,0.8903937338582332,6.6722238874471795,4.154845386462177,34.462483727379784,0.24330352723488674,0.1535450905230629,0.9951843873152734,0.9522290974338405,-0.3709355252524784,0.9939658963599134,0.15765075155970681,90.01638333284693,0.0014381538257787429,9.79057728447717,0.9471590277438562,0.005786583617748349,180.03276666569388,6.89066449825381,373.0665773269646
0928a31ce88182b08f89a6aa72354037_L_CC.nii.gz,4207.4085158123,22938671.488031458,75741.95611341675,3273.4676289761574,232.19951787504695,0.8683420835647655,11.59185974762854,4.789105255588321,89.772768593825,0.169031113607855,0.0906696328010573,0.9865516176708532,0.921200003701236,-0.5979816249120096,0.9997607281691776,0.08826792537273001,58.71133018772022,0.002131584383597164,8.964884548667401,0.9268565894738078,0.006923708316102168,117.42266037544043,7.049488648731627,876.4167867128014
1e2b0ce2c5a93c643834c98803e6ac2d_L_CC.nii.gz,6054.433838892332,24674164.09166544,-1697.6956220612096,3257.345397075668,225.66618638538367,0.868698452868956,11.401912757239138,4.729039378232782,80.18807596093956,0.1909430593099935,0.11649868915027867,0.9868246463650727,0.9224636810967115,-0.5204831730522543,0.9994737294918916,0.1073070817652392,72.77129921917485,0.001263292549992824,9.791536466856822,0.895553432762336,0.006454497960952719,145.5425984383497,7.419767543936399,870.752895865264
1fe77db1e47d9133c2bc799fc2e3c4ba_L_CC.nii.gz,7277.426468196012,22040305.9934465,-46453.760169249756,2868.3683401195176,81.14312846350792,0.9449776560854333,7.007984446928234,4.175181754820457,30.244594127785682,0.22605450931394425,0.1356961462918282,0.9951292323894557,0.9496851028871419,-0.47281678625735923,0.9988818067646048,0.13659116117490008,81.12025635689409,0.0012292699043691738,9.892418355275453,0.955126409786606,0.00440529037869174,162.2405127137882,7.38731755912336,737.3778671457565
