,Hist_10Percentile,Hist_90Percentile,Hist_Energy,Hist_Entropy,Hist_InterquartileRange,Hist_Kurtosis,Hist_Maximum,Hist_MeanAbsoluteDeviation,Hist_Mean,Hist_Median,Hist_Minimum,Hist_Range,Hist_RobustMeanAbsoluteDeviation,Hist_RootMeanSquared,Hist_Skewness,Hist_TotalEnergy,Hist_Uniformity,Hist_Variance
0d8fc33c55f2f6af87ee3bd16614e208_R_CC.nii.gz,113.0,196.0,8649877.0,6.487212854833368,46.0,2.283775534437898,224.0,25.404751690838893,158.72809667673715,162.0,84.0,140.0,19.45454046639232,161.65568011173227,-0.32390475199979096,8649877.0,0.01284216098794279,937.9502377670885
0f19f51df3ae39481f0a88d5b17b8499_R_CC.nii.gz,176.0,250.0,34233316.0,6.477218767649177,38.0,3.2051779423087225,255.0,23.047390626914797,216.5941422594142,223.0,131.0,124.0,16.26450330458791,218.50677472270982,-0.8855753740715746,34233316.0,0.01326034986159984,832.1881386296926
0fab8097f55f21d4bfa7667250122312_L_CC.nii.gz,149.0,247.0,60603400.0,6.498985521871879,59.0,2.625244021611873,255.0,30.570123734346545,199.40529531568228,202.0,83.0,172.0,22.96636472395471,202.8369733211783,-0.47514005115229224,60603400.0,0.01297443136907881,1380.3659461619402
014d843f13a9d86fec945664e2541fe6_R_CC.nii.gz,100.0,157.40000000000003,6045649.0,6.276866545543177,30.0,2.789057488264944,188.0,18.101279727577307,128.16526610644257,127.0,64.0,124.0,12.736613037312338,130.132974439281,-0.040824362516108395,6045649.0,0.014978540435782157,508.2556002793273
02c9621d5af7d0485e20c071f605678c_R_CC.nii.gz,74.6,109.0,1551104.0,5.439024429207664,13.0,4.206352979454799,134.0,10.05736509479825,90.0427807486631,89.0,48.0,86.0,6.327178632516119,91.07509976273121,0.26812566191998477,1551104.0,0.027996225228059137,186.9714318396294
07a0dbae70b94afb01313eeeeaaef9ac_R_CC.nii.gz,131.0,229.0,22377319.0,6.403957405902527,53.5,3.0014059195572105,246.0,31.29015584883564,190.01845637583892,201.5,78.0,168.0,22.653693106288767,193.76748243273985,-0.8902368572562286,22377319.0,0.015196387550110355,1438.8234848655468
0910d9262da2398810b2f2bc32b77088_L_CC.nii.gz,158.0,212.0,35951675.0,6.069791519496873,21.0,5.2128229814737095,231.0,16.046362000000002,188.337,192.0,93.0,138.0,10.047077421054611,189.60926928818645,-1.2814947816329514,35951675.0,0.01959,480.84943100000004
0928a31ce88182b08f89a6aa72354037_L_CC.nii.gz,100.4,180.0,6102543.0,6.386712167071472,45.5,2.283154129122679,209.0,25.082086167800455,135.9079365079365,130.0,76.0,133.0,18.944835882454033,139.18747206897746,0.42202601165003273,6102543.0,0.014320987654320987,902.1851751070799
1e2b0ce2c5a93c643834c98803e6ac2d_L_CC.nii.gz,92.0,232.0,17651381.0,6.661453238567325,72.0,2.3079649437840124,254.0,40.72792155142458,158.93720565149135,158.0,47.0,207.0,29.813343239341147,166.46373254951698,-0.023055465905660977,17651381.0,0.011087589244126582,2449.1389140126525
1fe77db1e47d9133c2bc799fc2e3c4ba_L_CC.nii.gz,133.0,236.0,28064498.0,6.502621629245608,59.0,2.652267186870549,252.0,31.97618493284972,182.1608910891089,180.0,69.0,183.0,23.8131750974946,186.36869266043692,-0.2704423723861037,28064498.0,0.013197235565140672,1550.699361582198
2b48f13688211af161ca5880d9fcaec3_R_CC.nii.gz,77.0,219.0,57193173.0,6.767583741110167,80.25,1.982001708051302,241.0,41.923860763591726,146.65981543624162,147.0,39.0,202.0,32.69308146399055,154.88842731497851,0.004955048981308177,57193173.0,0.010021367280753118,2481.3234523149295
2c90542f6f10926cde501ebd8de7c3c3_R_CC.nii.gz,94.3,190.0,3928746.0,6.107254255179019,48.5,2.711061230821457,203.0,29.459250446163,150.52439024390245,160.0,52.0,151.0,21.600895316804408,154.77651079114986,-0.7853882526260088,3928746.0,0.017177275431290898,1298.1762343842954
2cae5c9d4a922766fd01dd69a004ea5c_L_CC.nii.gz,147.9,215.0,50837449.0,6.3172664693669365,34.0,3.1142139625731478,245.0,20.58364613555291,185.45448275862068,191.0,99.0,146.0,14.409868529146404,187.24398429635173,-0.710900012786328,50837449.0,0.01572128418549346,666.944479904875
2df4404b9c286ec49851d4261faec924_R_CC.nii.gz,124.1,228.8,4612255.0,6.028741741225459,55.0,2.343467158932989,252.0,32.24307479224377,169.7434210526316,162.0,86.0,166.0,23.077083333333334,174.1946695359443,0.29823949428518665,4612255.0,0.01947714681440443,1530.9539040858724
2e1f57baf6e3e742404c401b0999cadb_R_CC.nii.gz,81.0,192.0,50094055.0,6.677247547970548,63.0,2.17830381520292,226.0,34.2073236294896,141.75695652173914,147.0,47.0,179.0,25.973763440860214,147.5805675319196,-0.24834466620711554,50094055.0,0.011272589792060495,1684.98919073724
2fe156e5ce59814559b0a9f01de006df_L_CC.nii.gz,131.0,244.0,121075468.0,6.74424834508163,65.0,2.0511418066346447,255.0,34.79416597712312,186.42792657237436,187.0,91.0,164.0,26.879980211063398,190.88109055447825,-0.09957957976782207,121075468.0,0.010574127976081857,1680.2189251923212
3b9d3e9aa2fcdefd74d4cbfb496694b4_R_CC.nii.gz,99.1,224.0,44914027.0,6.688354295772433,75.0,2.1274605715634842,254.0,39.33858813615807,165.31865965834427,168.5,51.0,203.0,29.877017156446406,171.78437994522926,-0.1638510186603079,44914027.0,0.010986477782708623,2179.613961935416
4e6f6c5e70433a176643f635747a328d_L_CC.nii.gz,108.0,218.5,6003422.0,6.197460117369863,50.75,2.701983259984537,230.0,31.60335564143652,165.9902912621359,170.0,63.0,167.0,21.947204045211183,170.7126979539555,-0.5216167559678935,6003422.0,0.0164954284098407,1590.04844942973
4fc011ee4b49040648fdd2d3dcf883c3_R_CC.nii.gz,78.0,131.8,3522975.0,6.087422783176534,31.0,2.627548100639898,167.0,16.912546700214577,105.78547854785478,106.0,66.0,101.0,12.350014394824635,107.82847582164835,0.22920406331303186,3522975.0,0.016959121654739732,436.412726421157
5babce4b963ba18124477ce11d284ac6_L_CC.nii.gz,56.0,190.0,15757576.0,6.407223836761472,94.0,1.9050268082400674,239.0,47.42208995183287,113.6506986027944,91.0,29.0,210.0,38.87734909356531,125.40384265442192,0.531725865824959,15757576.0,0.014567671045135277,2809.6424595917947
5f97a8ee0bc7b1ffb941035bc5291db8_L_CC.nii.gz,78.0,201.0,145789751.0,6.643718065958138,71.0,2.136786328352595,238.0,38.1223336546741,137.78793128338387,136.0,22.0,216.0,29.299476102301597,145.07444015429957,0.002007174309655763,145789751.0,0.011081577937203982,2061.0791787289295
5fb086552ff0566a7ba0fba65d5c4823_L_CC.nii.gz,171.0,245.0,84953698.0,6.573808171959748,43.0,2.519618475212083,254.0,23.270334734467305,212.7172264355363,218.0,125.0,129.0,17.607204117411726,214.52370836760127,-0.6266185544694826,84953698.0,0.011813191005353732,771.803029360428
6adbb464cba25c728e2d6c29ee9ee1bc_L_CC.nii.gz,109.0,224.0,19862119.0,6.586657767151557,85.0,1.7459929123591436,237.0,38.606205698513,167.65960665658093,169.0,67.0,170.0,32.089922263953184,173.3452956615434,-0.1082289613036961,19862119.0,0.012045655850828866,1938.8478237484578
6d75446a6406fc669f3464543b8f7893_L_CC.nii.gz,164.0,251.0,67608923.0,6.471413986227984,52.0,2.4091308334006785,255.0,27.876014918998838,214.69853454291695,224.0,119.0,136.0,21.29513836262697,217.20954890790597,-0.7141080329688855,67608923.0,0.01464483130905498,1084.5274018998882
7bb82359496060cc5af7fd939e760ff5_L_CC.nii.gz,71.0,175.0,1263964.0,5.753309570732422,67.0,1.671040941754706,187.0,34.423715896966925,118.8641975308642,111.0,58.0,129.0,28.69112426035503,124.91794837876779,0.20033366555265983,1263964.0,0.02057613168724279,1475.7963725041911
7c49a0d284532fa3e537ac87991c9608_L_CC.nii.gz,164.6,240.0,7721212.0,6.180251087369358,42.0,2.683368406174306,247.0,23.892814963771585,206.87005649717514,215.0,127.0,120.0,17.69181867083965,208.86039994854616,-0.7444033753017081,7721212.0,0.0160554119186696,827.4463915222317
7f0eb50793a773fb4bddaeff7e3c7c14_L_CC.nii.gz,184.0,254.0,27010387.0,6.031278022367133,39.0,3.0379636409277295,255.0,22.501989644970415,226.28269230769232,235.0,145.0,110.0,16.74627543252595,227.9101838950531,-0.9642942008545654,27010387.0,0.0228698224852071,739.1950850591714
8dd986e8174fc84c2a984e66a416ff9f_R_CC.nii.gz,117.0,228.0,143691995.0,6.658643234693143,62.0,2.37175758016381,254.0,34.03566433622481,174.52394807520145,177.0,62.0,192.0,25.2030620964206,179.33278995312716,-0.26824713896709024,143691995.0,0.011354391999929471,1701.6411006168205
8e30fe5fbe424206c9f57ce26f80f6c2_R_CC.nii.gz,122.0,235.0,31636687.0,6.537766017044773,65.75,2.1185044588719855,250.0,33.92626956264547,176.324016563147,175.0,66.0,184.0,26.204339250493096,180.97014555384692,-0.04846075502135944,31636687.0,0.012396641076090172,1660.0347648196014
8f447c29a7aa0c5aa2b8e8a852b01560_L_CC.nii.gz,104.60000000000001,174.10000000000002,5901923.0,6.358307215671904,35.0,2.9083561954934996,195.0,21.124256837098695,140.1206896551724,141.0,65.0,130.0,14.381019619500593,142.65853854813477,-0.3944800480760851,5901923.0,0.014340071343638525,717.6509512485136
9a6f70ccba8034a3d658f88677e4b553_L_CC.nii.gz,139.9,231.0,14763242.0,6.461373899855204,50.0,2.3252563663256725,246.0,27.608304580606784,186.82439024390243,188.0,94.0,152.0,20.844369803123374,189.75749607610544,-0.24344059569598214,14763242.0,0.013170731707317074,1104.5545270672217
9bb21300e3a92937024437cacc180158_R_CC.nii.gz,91.0,210.0,33987658.0,6.545578286080701,54.0,2.614601356145294,243.0,33.90089808520155,143.19973718791064,140.0,38.0,205.0,23.669476750395148,149.43533226199318,0.3007104495778005,33987658.0,0.012585452781025035,1824.7537975656212
9fe8e9aef78ad365197d8f6ee0fdb932_R_CC.nii.gz,167.0,229.0,54042780.0,6.436748166182983,42.0,2.2555563848681515,242.0,20.74575699058627,200.02854996243425,204.0,119.0,123.0,16.239151234567903,201.5022096550501,-0.4192281284852506,54042780.0,0.012915727993560484,591.7196957937097
21fddc967eb5a31695a60d4bb075df7a_R_CC.nii.gz,179.0,234.0,7684717.0,5.740674521494902,31.0,3.0809769990205997,239.0,18.03153106938887,210.8830409356725,218.0,149.0,90.0,13.4173775044634,211.99024858958967,-0.920478958631943,7684717.0,0.02322082008139256,468.20854279949396
27d4dc70d6f73554e4ead70f01867167_R_CC.nii.gz,153.0,240.0,31515193.0,6.432336719113486,57.0,2.191167665031464,249.0,29.278065999348957,199.73046875,203.5,94.0,155.0,23.564553803753515,202.57198116245823,-0.4284784173269501,31515193.0,0.013627794053819444,1143.147404988607
27de4919323355abc9dc92603fdb5df2_L_CC.nii.gz,80.2,132.8,845594.0,5.463529353282004,35.0,1.9598729141279274,148.0,18.012760367798837,105.56164383561644,104.0,67.0,81.0,13.718067097568484,107.62657409791875,0.03354083019955094,845594.0,0.02458247325952336,440.21880277725654
46ab23ec866810a4212c33db471153a2_R_CC.nii.gz,84.0,156.0,15757939.0,6.524039104735495,36.0,2.5333265514514456,186.0,21.306431730908514,121.43878550440745,123.0,51.0,135.0,15.510544119974906,124.23296100235373,-0.2270000932607561,15757939.0,0.012448666159523657,686.4499746268614
55d4e23fef777c307e27b9661c0da578_L_CC.nii.gz,124.0,187.4000000000001,58626609.0,6.522148144813675,39.0,2.2182049246626065,216.0,20.39854184303287,155.52217997465146,157.0,92.0,124.0,15.628331075457684,157.3795352776461,0.05746539616585366,58626609.0,0.012157555059722214,581.1696601399791
65b8c8d3af382a51b3c8465be1f6f06e_L_CC.nii.gz,145.0,225.0,33124953.0,6.500469629547119,42.0,2.606372599746778,248.0,24.702221709476092,190.21164613661813,196.0,103.0,145.0,17.882476851851855,192.5980589674494,-0.5364609668682265,33124953.0,0.013587075787918727,913.5419920270763
100d1197bd368737356f1da7fc270ae4_R_CC.nii.gz,162.6,255.0,8179238.0,5.276318113937135,55.0,3.581384872564508,255.0,30.276111257480522,220.82208588957056,234.0,107.0,148.0,21.0150121974104,224.0075316437571,-1.2014534239244434,8179238.0,0.0600323685498137,1416.9806165079606
443af8de1a0d47fe93e88ee1e4dfac8e_R_CC.nii.gz,127.0,207.0,18868914.0,6.423232866838019,40.0,3.2130495706345155,216.0,24.73576320987412,169.13166144200628,173.0,70.0,146.0,17.5685269502299,171.97412687227,-0.7654425933108674,18868914.0,0.014327689389844835,969.5814113461937
540ab71b28752c3e279be9bad638df79_L_CC.nii.gz,175.0,251.0,35693314.0,6.402911510923378,43.0,2.97219728372853,255.0,23.974464394394822,218.731241473397,225.0,126.0,129.0,18.045750523752904,220.66906200227953,-0.8504805774879921,35693314.0,0.014426128210330008,851.4789284723865
543d36c1e4f0957fddd46c3078f21c93_R_CC.nii.gz,142.0,213.0,31317456.0,6.419174525070261,36.0,2.841704669983333,237.0,21.656054823482982,175.86248736097068,177.0,87.0,150.0,15.309499760107068,177.9488116715833,-0.12197779032310796,31317456.0,0.013923635214866054,738.1651145410434
